question_id,question_text,topic,average_score,correct_rate,score_variance,difficulty_label
1,Explain the data normalization in Chemistry with example scenario 0.,Chemistry,8.09,0.825,1.964,Easy
2,Compute the key assumption in Data Structures with example scenario 1.,Data Structures,4.0,0.604,0.812,Medium
3,Analyze the logical equivalence in Biology with example scenario 2.,Biology,1.11,0.117,1.702,Hard
4,Analyze the space complexity in Genetics with example scenario 3.,Genetics,5.43,0.892,2.44,Easy
5,Explain the fundamental theorem in Discrete Mathematics with example scenario 4.,Discrete Mathematics,4.68,0.683,0.864,Medium
6,Compute the key assumption in Physics with example scenario 5.,Physics,1.1,0.153,1.55,Hard
7,Illustrate the fundamental theorem in Electromagnetism with example scenario 6.,Electromagnetism,5.99,0.836,1.724,Easy
8,Compute the data normalization in Genetics with example scenario 7.,Genetics,3.2,0.447,1.233,Medium
9,Compare the key assumption in Genetics with example scenario 8.,Genetics,2.12,0.232,0.899,Hard
10,Illustrate the primary formula in Linear Algebra with example scenario 9.,Linear Algebra,7.14,0.853,0.593,Easy
11,Evaluate the data normalization in Algebra with example scenario 10.,Algebra,4.06,0.607,0.63,Medium
12,Prove the primary formula in Discrete Mathematics with example scenario 11.,Discrete Mathematics,3.7,0.375,2.117,Hard
13,Compute the regression model in Biology with example scenario 12.,Biology,5.18,0.811,1.868,Easy
14,Analyze the core principle in Networks with example scenario 13.,Networks,3.57,0.55,1.49,Medium
15,Analyze the standard method in Databases with example scenario 14.,Databases,1.06,0.11,1.018,Hard
16,Illustrate the primary formula in Machine Learning with example scenario 15.,Machine Learning,6.4,0.883,1.54,Easy
17,Derive the time complexity in Calculus with example scenario 16.,Calculus,3.95,0.586,2.439,Medium
18,Compare the core principle in Chemistry with example scenario 17.,Chemistry,3.17,0.325,2.29,Hard
19,Determine the classification rule in Genetics with example scenario 18.,Genetics,8.43,0.87,0.677,Easy
20,Prove the space complexity in Macroeconomics with example scenario 19.,Macroeconomics,2.89,0.467,1.151,Medium
21,Analyze the fundamental theorem in Statistics with example scenario 20.,Statistics,1.51,0.213,2.157,Hard
22,Determine the core principle in Logic with example scenario 21.,Logic,5.85,0.821,1.585,Easy
23,Analyze the optimization technique in Logic with example scenario 22.,Logic,4.13,0.448,0.649,Medium
24,Derive the logical equivalence in Data Structures with example scenario 23.,Data Structures,3.51,0.386,0.897,Hard
25,Evaluate the standard method in Machine Learning with example scenario 24.,Machine Learning,6.96,0.751,1.914,Easy
26,Compute the logical equivalence in Machine Learning with example scenario 25.,Machine Learning,5.89,0.648,0.648,Medium
